title,original_title,budget,original_language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
The Attachment Diaries,El apego,0,es,,"Argentina, 1970s. A desperate young woman goes to a clinic to have a clandestine abortion. As her pregnancy is already through the fourth month, the doctor refuses. Instead, she proposes to sell the baby to one of her clients and offers to provide shelter in her house until the child is born. Their disturbed personalities will become intertwined in a strange and dangerous relationship.",1.325,102,0,2021-10-07,3.0,4,"'Drama', 'Mystery', 'Thriller', 'Horror'",'Spanish','Argentina',https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,"subject: Movies;creative_works: The Attachment Diaries (Movie);persons: Diment, Valentin Javier;",2023-05-25T11:00:03+0000,295,"‘The Attachment Diaries’ Review: Love, Sick",,,The Attachment Diaries,,,,By Jeannette Catsoulis,
What’s Love Got to Do With It?,What's Love Got to Do with It?,0,en,,Two childhood friends now in their thirties must decide whether to follow their heads or their hearts once the man decides to follow his parents' advice and enter into an arranged marriage in Pakistan.,20.564,109,10898395,2023-01-26,6.062,161,"'Romance', 'Comedy'","'English', 'Portuguese', 'Urdu'","'France', 'United Kingdom'",https://www.nytimes.com/2023/05/04/movies/whats-love-got-to-do-with-it-review.html,Two childhood friends navigate cultural differences in this pleasantly uncontentious romantic comedy.,The New York Times,"subject: Movies;persons: Kapur, Shekhar;persons: James, Lily;persons: Azmi, Shabana;persons: Thompson, Emma;",2023-05-04T17:16:45+0000,287,Review: ‘What’s Love Got to Do With It?’ Probably a Lot,,,What’s Love Got to Do With It?,,,,By Jeannette Catsoulis,
You Can Live Forever,You Can Live Forever,0,en,https://gooddeedentertainment.com/you-can-live-forever/,"When Jaime, a gay teenager, is sent to live in a community of Jehovah's Witnesses in small-town Quebec, she falls madly in love with a devout Witness girl. The two embark on an intense affair with consequences that will reshape the rest of their lives.",58.303,96,15055,2023-03-24,6.6,31,"'Drama', 'Romance'","'English', 'French'","'Canada', 'United States of America'",https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,Religion comes between two girls falling in love in the 1990s in this sweet coming-of-age film bathed in grunge hues.,The New York Times,"subject: Movies;creative_works: You Can Live Forever (Movie);persons: Slutsky, Mark;persons: Watts, Sarah (Film Director);persons: O'Driscoll, Anwen;persons: Laporte, June (Actor);",2023-05-04T11:00:08+0000,294,‘You Can Live Forever’ Review: Do You Love Me Now?,,,You Can Live Forever,,,,By Elisabeth Vincentelli,
A Tourist’s Guide to Love,A Tourist's Guide to Love,0,en,https://www.netflix.com/title/81424906,"After an unexpected break up, a travel executive accepts an assignment to go undercover and learn about the tourist industry in Vietnam. Along the way, she finds adventure and romance with her Vietnamese expat tour guide and they decide to hijack the tour bus in order to explore life and love off the beaten path.",15.245,96,0,2023-04-21,6.3,154,"'Romance', 'Comedy'","'English', 'Vietnamese'",'United States of America',https://www.nytimes.com/2023/04/21/movies/a-tourists-guide-to-love-review.html,Rachael Leigh Cook stars in this bland rom-com as a travel executive exploring Vietnam and getting over a breakup.,The New York Times,"subject: Movies;creative_works: A Tourist's Guide to Love (Movie);persons: Tsuchida, Steven;persons: Cook, Rachael Leigh;",2023-04-21T07:03:25+0000,276,‘A Tourist’s Guide to Love’ Review: A Wearyingly Familiar Trip,,,A Tourist’s  Guide to Love,,,,By Elisabeth Vincentelli,
Other People’s Children,Les Enfants des autres,0,fr,https://www.wildbunch.biz/movie/other-peoples-children/,"Rachel loves her life, her students, her friends, her ex, her guitar lessons. When she falls in love with Ali, she grows close to his 4-year-old daughter, Leila. She tucks her in, looks after her, and loves her like a mother... which she isn’t. Not yet. Rachel is 40. The desire for a family of her own is growing stronger, and the clock is ticking. Is it too late?",11.619,104,84178,2022-09-21,6.9,178,"'Drama', 'Comedy'","'English', 'French'",'France',https://www.nytimes.com/2023/04/20/movies/other-peoples-children-review.html,"A radiant Virginie Efira stars as a Parisian teacher who blissfully falls for a man and his 4-year-old daughter, complicating everyone’s lives.",The New York Times,"subject: Movies;persons: Zlotowski, Rebecca;creative_works: Other People's Children (Movie);",2023-04-20T15:35:13+0000,801,‘Other People’s Children’ Review: True Romance,Critic’s pick,,Intoxicating Love With a Sobering Turn,,,,By Manohla Dargis,
One True Loves,One True Loves,0,en,,"Emma and Jesse are living the perfect life together, until Jesse disappears in a tragic helicopter crash on their first wedding anniversary. Four years later, Emma has found happiness again and is about to marry her best friend when Jesse resurfaces, turning her world upside down and leaving her torn between two great loves.",20.397,100,37820,2023-04-07,6.5,65,"'Romance', 'Drama', 'Comedy'","'English', 'Spanish'","'Czech Republic', 'United States of America'",https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,"A film adaptation of Taylor Jenkins Reid’s novel has potential for drama, but it stumbles on stock melodrama.",The New York Times,"subject: Movies;persons: Bracey, Luke (1989- );persons: Liu, Simu;persons: Reid, Taylor Jenkins;persons: Soo, Phillipa;persons: Fickman, Andy;creative_works: One True Loves (Movie);",2023-04-13T11:00:06+0000,320,‘One True Loves’ Review: A Romance Lost at Sea,,,One True Loves,,,,By Brandon Yu,
The Lost Weekend: A Love Story,The Lost Weekend: A Love Story,0,en,https://thelostweekendmovie.com/,"May Pang lovingly recounts her life in rock & roll and the whirlwind 18 months spent as friend, lover, and confidante to one of the towering figures of popular culture, John Lennon, in this funny, touching, and vibrant portrait of first love.",2.719,95,77145,2023-04-13,6.0,2,'Documentary','English','United States of America',https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,"There’s not much Lennon music heard in this doc about his affair with May Pang, and given how much Pang trashes his wife, Yoko Ono, it’s no surprise it was withheld.",The New York Times,"subject: Documentary Films and Programs;creative_works: The Lost Weekend: A Love Story (Movie);persons: Pang, May;persons: Lennon, John;persons: Ono, Yoko;persons: Brandstein, Eve;persons: Kaufman, Richard S (Filmmaker);persons: Samuels, Stuart (Filmmaker);subject: Content Type: Personal Profile;subject: Pop and Rock Music;",2023-04-13T11:00:03+0000,327,‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,,,The Lost Weekend:  A Love Story,,,,By Glenn Kenny,
A Thousand and One,A Thousand and One,0,en,https://www.focusfeatures.com/a-thousand-and-one/,"Struggling but unapologetically living on her own terms, Inez is moving from shelter to shelter in mid-1990s New York City. With her 6-year-old son Terry in foster care and unable to leave him again, she kidnaps him so they can build their life together. As the years go by, their family grows and Terry becomes a smart yet quiet teenager, but the secret that has defined their lives threatens to destroy the home they have so improbably built.",16.409,116,3395595,2023-03-31,6.9,80,"'Drama', 'Crime'","'English', 'Portuguese', 'Spanish'",'United States of America',https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,"A mesmerizing Teyana Taylor stars in A.V. Rockwell’s feature directing debut, about motherhood and survival in a fast-changing city.",The New York Times,"subject: Movies;creative_works: A Thousand and One (Movie);persons: Rockwell, AV (Film Director);persons: Taylor, Teyana (1990- );",2023-03-30T18:53:42+0000,971,‘A Thousand and One’ Review: A New York Love Story,Critic’s Pick,,An Unbending Will Meets a Shifting City,,,,By Manohla Dargis,
Your Place or Mine,Your Place or Mine,0,en,https://www.netflix.com/title/81045831,"When best friends and total opposites Debbie and Peter swap homes for a week, they get a peek into each other's lives that could open the door to love.",29.317,109,0,2023-02-10,6.278,689,"'Romance', 'Comedy'",'English','United States of America',https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,This humdrum Netflix romantic comedy features Reese Witherspoon and Ashton Kutcher as longtime friends with possibly hidden feelings for each other.,The New York Times,"subject: Movies;creative_works: Your Place or Mine (Movie);persons: Witherspoon, Reese;persons: Kutcher, Ashton;persons: McKenna, Aline Brosh;",2023-02-10T00:00:05+0000,569,‘Your Place or Mine’ Review: Try Neither,,,They Have a Humdrum Kind of Love,,,,By Amy Nicholson,
Love in the Time of Fentanyl,Love in the Time of Fentanyl,0,en,,An intimate portrait of a community fighting to save lives and keep hope alive in a neighborhood ravaged by the overdose crisis.,1.736,85,0,2023-02-03,0.0,0,'Documentary','English',"'Canada', 'United States of America'",https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,"To combat the overdose crisis, a group that includes former and current users open a safe consumption site where shooting up does not have to mean death.",The New York Times,"subject: Documentary Films and Programs;subject: Fentanyl;subject: Drug Abuse and Traffic;subject: Volunteers and Community Service;creative_works: Love in the Time of Fentanyl (Movie);persons: Askey, Colin;glocations: Vancouver (British Columbia);organizations: Overdose Prevention Society;",2023-02-02T12:00:11+0000,306,"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver",,,Love in the Time Of Fentanyl,,,,By Concepción de León,
"Pamela, a Love Story","Pamela, A Love Story",0,en,https://www.netflix.com/title/81590934,"In her own words, through personal video and diaries, Pamela Anderson shares the story of her rise to fame, rocky romances and infamous sex tape scandal.",10.571,113,0,2023-01-30,7.0,202,'Documentary','English','United States of America',https://www.nytimes.com/2023/01/31/movies/pamela-a-love-story-review.html,"This documentary from Ryan White rewinds, to powerful effect, on Pamela Anderson’s life and fame.",The New York Times,"subject: Documentary Films and Programs;persons: Anderson, Pamela (1967- );persons: White, Ryan (Filmmaker);creative_works: Pamela, a Love Story (Movie);",2023-01-31T12:00:05+0000,295,"‘Pamela, a Love Story’ Review: A Frank Look Back",,,"Pamela, a Love Story",,,,By Glenn Kenny,
In From the Side,In from the Side,0,en,http://www.infromthesidemovie.com,"Mark, a new and inexperienced rugby club member, finds himself drawn to Warren, a seasoned first team player. When a series of happenstances at an away fixture lead to a drunken encounter, Mark and Warren unwittingly embark on a romantic affair they struggle to hide from their partners and teammates.",15.678,134,0,2022-09-16,6.772,57,"'Drama', 'Romance'",'English','United Kingdom',https://www.nytimes.com/2023/01/19/movies/in-from-the-side-review.html,"In Matt Carter’s gay rugby film, sports and romance smash together like two players from opposing teams.",The New York Times,"subject: Movies;creative_works: In From the Side (Movie);persons: Carter, Matt (Filmmaker);",2023-01-19T17:50:16+0000,281,‘In From the Side’ Review: Love and Rugby Play a Losing Game,,,In From the Side,,,,By Kyle Turner,
After Love,After Love,0,en,,"Set in the port town of Dover in the South-East of England, Mary Hussain suddenly finds herself a widow following the unexpected death of her husband. A day after the burial, she discovers he has a secret just twenty-one miles across the English Channel in Calais.",7.307,89,0,2021-06-04,7.165,112,'Drama',"'English', 'Arabic', 'French', 'Urdu'",'United Kingdom',https://www.nytimes.com/2023/01/19/movies/after-love-review.html,"In this intelligent melodrama by the director Aleem Khan, a British woman discovers her husband has been leading a double life.",The New York Times,"subject: Movies;creative_works: After Love (2020) (Movie);persons: Khan, Aleem;persons: Scanlan, Joanna (1961- );",2023-01-19T12:00:06+0000,359,‘After Love’ Review: The Other Woman,Critic’s Pick,,After Love,,,,By Beatrice Loayza,
Alcarràs,Alcarràs,0,ca,https://www.alcarras-film.com/,"In a small village in Catalonia, the peach farmers of the Solé family spend every summer together picking fruit from their orchard. But when plans arise to install solar panels and cut down trees, the members of this tight-knit group suddenly face eviction – and the loss of far more than their home.",7.998,120,0,2022-04-29,6.878,172,'Drama','Catalan','Spain',https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,"In this naturalistic drama from Spain, a family confronts the impending loss of its generations-old farm.",The New York Times,"subject: Movies;persons: Simon, Carla;creative_works: Alcarras (Movie);",2023-01-05T12:00:03+0000,306,‘Alcarràs’ Review: Labor of Love,,,Alcarràs,,,,By Devika Girish,
Nelly & Nadine,Nelly et Mr. Arnaud,0,fr,,"Nelly leaves her lazy, unemployed husband to work for retired judge Mr Arnaud, forty years her senior, after he offers to clear her bills for her. While she types his memoirs the two develop a close friendship, but Arnaud becomes jealous when Nelly begins dating his good-looking young publisher.",14.7,106,0,1995-08-23,6.9,116,"'Drama', 'Romance'",'French',"'Germany', 'France', 'Italy'",https://www.nytimes.com/2022/12/15/movies/nelly-and-nadine-review.html,A family archive provides intimate records of a love affair that began between two women imprisoned in the Ravensbrück concentration camp.,The New York Times,"subject: Documentary Films and Programs;persons: Gertten, Magnus;creative_works: Nelly & Nadine (Movie);subject: Content Type: Personal Profile;subject: Holocaust and the Nazi Era;subject: World War II (1939-45);subject: Women and Girls;subject: Homosexuality and Bisexuality;",2022-12-15T12:00:04+0000,308,"‘Nelly & Nadine’ Review: An Unlikely Love, an Unlikely Record",,,Nelly &amp; Nadine,,,,By Teo Bugbee,
Lady Chatterley’s Lover,Lady Chatterley's Lover,0,en,https://www.netflix.com/title/81476441,Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.,29.025,126,0,2022-11-22,6.562,363,"'Drama', 'Romance'",'English',"'United Kingdom', 'United States of America'",https://www.nytimes.com/2022/12/01/movies/lady-chatterleys-lover-review.html,The new Netflix adaptation of D.H. Lawrence’s once-controversial novel is both steamy and decorous.,The New York Times,"subject: Movies;creative_works: Lady Chatterley's Lover (Movie);persons: Corrin, Emma (1995- );persons: De Clermont-Tonnerre, Laure;persons: Lawrence, D H;",2022-12-01T16:40:55+0000,768,‘Lady Chatterley’s Lover’ Review: When Connie Met Ollie,,,A Love Whose Name Is Often Spoken,,,,By A.O. Scott,
The Sound of Christmas,The Sound of Christmas,0,en,,A woman facing eviction just before Christmas who must navigate budding romantic feelings for a handsome billionaire when she takes a job nannying for his two children right before Christmas.,0.857,0,0,2022-11-24,8.0,4,"'TV Movie', 'Drama'",'English','United States of America',https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,A young singer gets more than she bargained for when she accepts a job as a nanny for a billionaire’s children.,The New York Times,"subject: Movies;persons: Ne-Yo;creative_works: The Sound of Christmas (Movie);persons: Mattison, Booker T;persons: McNeill, Serayah;",2022-11-23T15:00:09+0000,277,‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,,,The Sound  Of Christmas,,,,By Concepción de León,
The Inspection,The Inspection,0,en,https://a24films.com/films/inspection,"Ellis French is a young, gay Black man, rejected by his mother and with few options for his future, decides to join the Marines, doing whatever it takes to succeed in a system that would cast him aside. But even as he battles deep-seated prejudice and the grueling routines of basic training, he finds unexpected camaraderie, strength, and support in this new community, giving him a hard-earned sense of belonging that will shape his identity and forever change his life.",11.408,95,270613,2022-11-18,6.1,52,'Drama',"'Arabic', 'Spanish', 'English'",'United States of America',https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,"Elegance Bratton’s autobiographical first feature is a lyrical, wrenching look at a young Marine’s journey through basic training.",The New York Times,"subject: Movies;creative_works: The Inspection (Movie);persons: Bratton, Elegance;",2022-11-17T12:00:07+0000,836,"‘The Inspection’ Review: Boot Camp, a Love Story",critic’s pick,,"A Few Good Men, Some With Secrets",,,,By A.O. Scott,
Bones and All,Bones and All,18000000,it,https://www.bonesandallfilm.net/,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.",32.021,131,15100000,2022-11-18,7.09,1194,"'Drama', 'Horror', 'Romance'",'English',"'Italy', 'United States of America'",https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,Luca Guadagnino’s latest stars Timothée Chalamet and Taylor Russell as young cannibals on the run.,The New York Times,"subject: Movies;creative_works: Bones and All (Movie);persons: Guadagnino, Luca;persons: Chalamet, Timothee (1995- );persons: Russell, Taylor (1994- );",2022-11-17T12:00:06+0000,710,‘Bones and All’ Review: You Eat What You Are,,,"It’s Eat, Prey, Love on a Journey of Self-Discovery",,,,By A.O. Scott,
My Policeman,My Policeman,0,en,https://www.amazon.com/dp/B09Y8SHDPD,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",14.594,113,0,2022-10-20,7.739,630,"'Drama', 'Romance'",'English',"'United Kingdom', 'United States of America'",https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"subject: Movies;creative_works: My Policeman (Movie);persons: Grandage, Michael;",2022-10-20T16:52:51+0000,303,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",,,My Policeman,,,,By Teo Bugbee,
